"n","m","rep_id","beta","SCP"
10000,10,5,5,4e-04
10000,10,5,6,0.0084
10000,10,5,7,0.0536
10000,10,5,8,0
10000,10,5,9,0.0108
10000,10,5,10,0.0616
10000,10,6,1,0.988
10000,10,6,2,0.944
10000,10,6,3,0.9856
10000,10,6,4,0
10000,10,6,5,0.0588
10000,10,6,6,0.0492
10000,10,6,7,0
10000,10,6,8,0.0708
10000,10,6,9,0.0216
10000,10,6,10,0.0456
10000,10,7,1,0.9864
10000,10,7,2,0.9348
10000,10,7,3,0.9876
10000,10,7,4,0.1664
10000,10,7,5,0.0036
10000,10,7,6,0.0108
10000,10,7,7,0
10000,10,7,8,0.0336
10000,10,7,9,0
10000,10,7,10,8e-04
10000,10,8,1,0.9888
10000,10,8,2,0.9416
10000,10,8,3,0.9844
10000,10,8,4,0
10000,10,8,5,0.032
10000,10,8,6,0.0036
10000,10,8,7,0
10000,10,8,8,0
10000,10,8,9,0.0316
10000,10,8,10,0
10000,10,9,1,0.9864
10000,10,9,2,0.9372
10000,10,9,3,0.9856
10000,10,9,4,0
10000,10,9,5,0.0936
10000,10,9,6,0
10000,10,9,7,0.0744
10000,10,9,8,0
10000,10,9,9,0.0068
10000,10,9,10,0.046
10000,10,10,1,0.986
10000,10,10,2,0.9384
10000,10,10,3,0.9956
10000,10,10,4,0.0152
10000,10,10,5,0.0148
10000,10,10,6,0
10000,10,10,7,0.0256
10000,10,10,8,0
10000,10,10,9,0.0312
10000,10,10,10,0.0216
10000,20,1,1,0.9884
10000,20,1,2,0.9328
10000,20,1,3,0.9864
10000,20,1,4,0.0424
10000,20,1,5,0
10000,20,1,6,0.036
10000,20,1,7,0
10000,20,1,8,0
10000,20,1,9,0.0124
10000,20,1,10,0.0172
10000,20,1,11,0.0032
10000,20,1,12,0.038
10000,20,1,13,0.056
10000,20,1,14,0
10000,20,1,15,0.0484
10000,20,1,16,0
10000,20,1,17,0.0108
10000,20,1,18,0.0096
10000,20,1,19,0.0612
10000,20,1,20,0.0224
10000,20,2,1,0.9884
10000,20,2,2,0.9444
10000,20,2,3,0.9884
10000,20,2,4,0.0772
10000,20,2,5,4e-04
10000,20,2,6,0
10000,20,2,7,0.0124
10000,20,2,8,0
10000,20,2,9,0.0328
10000,20,2,10,0
10000,20,2,11,0
10000,20,2,12,0.0624
10000,20,2,13,0.026
10000,20,2,14,0.0044
10000,20,2,15,0
