"n","m","rep_id","seed","Method","MSPE","Coverage","MSE_1","MSE_0"
5000,5,8,404,"BSGL",0.103825252039008,0.974,0.0325985772670207,0.0156197742579836
5000,5,8,404,"GGP-GAM",0.107143214323974,NA,0.0293927899813226,0.00218071039594644
5000,5,8,404,"GSVC",0.103964728497876,0.954,0.0315119570132341,0.0242720661376898
5000,5,8,404,"MGWR",0.156655819884245,NA,0.225038824625827,0.00066757707276307
5000,5,9,505,"BSGL",0.108323204150201,0.968,0.0252602465632034,0.0207281108601505
5000,5,9,505,"GGP-GAM",0.114965517703379,NA,0.026689800118379,0.0111421285079146
5000,5,9,505,"GSVC",0.108798333418157,0.939,0.0242457945048143,0.0309031256337153
5000,5,9,505,"MGWR",0.183141554054086,NA,0.211586762499271,0.0237786458475535
5000,5,10,606,"BSGL",0.101086062386651,0.966,0.0286249378149545,0.0197353301854736
5000,5,10,606,"GGP-GAM",0.102709577320263,NA,0.0247038195987551,0.0129349094390065
5000,5,10,606,"GSVC",0.101127745816777,0.952,0.0204255821599735,0.0286199235139299
5000,5,10,606,"MGWR",0.143390625119401,NA,0.197059774752178,0.0113637099670499
5000,10,1,42,"BSGL",0.113914765639287,0.97,0.0329767489339878,0.0157528388215762
5000,10,1,42,"GGP-GAM",0.109481031305662,NA,0.0252300696957774,0.00441914892765299
5000,10,1,42,"GSVC",0.114497503394295,0.944,0.0256606931839003,0.0233235920937125
5000,10,1,42,"MGWR",0.161081158180628,NA,0.218685493302206,0.00164758353092476
5000,10,2,123,"BSGL",0.106815927411551,0.976,0.0366953668521398,0.0127053492411857
5000,10,2,123,"GGP-GAM",0.107832408917945,NA,0.0276866794456232,0.00332310627942324
5000,10,2,123,"GSVC",0.109479961903238,0.95,0.0326470940605255,0.0239946441548498
5000,10,2,123,"MGWR",0.160302355543789,NA,0.221551305777266,0.00515257528497004
5000,10,3,456,"BSGL",0.119798772111829,0.973,0.0393657230576698,0.017692241167009
5000,10,3,456,"GGP-GAM",0.115236209486749,NA,0.0208244116165176,0.0045682857502952
5000,10,3,456,"GSVC",0.123934837427736,0.95,0.0340174352194536,0.0294082667449411
5000,10,3,456,"MGWR",0.179185019478881,NA,0.220904683170767,0.00547287159510837
5000,10,4,789,"BSGL",0.107983121653937,0.978,0.041350365021127,0.0124814102908433
5000,10,4,789,"GGP-GAM",0.11174333448524,NA,0.0380738173598301,0.00203049626162401
5000,10,4,789,"GSVC",0.108911707649999,0.955,0.0382699417624189,0.0230147548622778
5000,10,4,789,"MGWR",0.169526304782746,NA,0.20330626473282,0.0047058655730731
5000,10,5,101,"BSGL",0.110520520599159,0.968,0.0501521868121885,0.0168797553891634
5000,10,5,101,"GGP-GAM",0.110812552916407,NA,0.0401562811048865,0.00488248038235301
5000,10,5,101,"GSVC",0.113524160975259,0.941,0.0413041831296768,0.0267319956896813
5000,10,5,101,"MGWR",0.157950446110774,NA,0.248551035831797,0.00703269507954715
5000,10,6,202,"BSGL",0.108695073999631,0.974,0.0266290242976708,0.0184534559536294
5000,10,6,202,"GGP-GAM",0.10650603050068,NA,0.02511727297342,0.00574256921598532
5000,10,6,202,"GSVC",0.112377096425225,0.951,0.0224544579663212,0.0294839611825594
5000,10,6,202,"MGWR",0.179035389608534,NA,0.213210462840983,0.00734433870622076
5000,10,7,303,"BSGL",0.112933700547694,0.978,0.0361919412977132,0.0181146716857498
5000,10,7,303,"GGP-GAM",0.113635820398154,NA,0.0277321131394897,0.00503946350609259
5000,10,7,303,"GSVC",0.114992583211582,0.956,0.0259845810145488,0.0300801991837737
5000,10,7,303,"MGWR",0.180619309925752,NA,0.232399744343941,0.00337108369188413
5000,10,8,404,"BSGL",0.104148787710696,0.979,0.0299519743869297,0.0151195285601818
5000,10,8,404,"GGP-GAM",0.105579981569496,NA,0.0292898094715762,0.00373291679056749
5000,10,8,404,"GSVC",0.105889841266714,0.96,0.0255804368845764,0.0263413645689424
5000,10,8,404,"MGWR",0.157622488420645,NA,0.239453569298106,0.00382438705516296
5000,10,9,505,"BSGL",0.109411778627257,0.967,0.0360931558322886,0.0150647246158665
5000,10,9,505,"GGP-GAM",0.110079493847387,NA,0.0297479868679829,0.00316318118962201
5000,10,9,505,"GSVC",0.112179853264204,0.942,0.0275047324735874,0.0275919933478582
5000,10,9,505,"MGWR",0.169104534918367,NA,0.213787108127732,0.00400765907695851
5000,10,10,606,"BSGL",0.107607047678257,0.969,0.0347353113459628,0.015289090968825
5000,10,10,606,"GGP-GAM",0.103035853375129,NA,0.0313590498079842,0.00483286926088665
5000,10,10,606,"GSVC",0.110445516225379,0.944,0.0259530185574799,0.0275722642352691
5000,10,10,606,"MGWR",0.146961072173734,NA,0.215405673435535,0.0202560332141373
5000,20,1,42,"BSGL",0.113026057125138,0.973,0.0380761266718643,0.0139577162647145
5000,20,1,42,"GGP-GAM",0.10618019952066,NA,0.0279805504477723,0.00354457896617975
5000,20,1,42,"GSVC",0.11957365686159,0.951,0.0350826107341616,0.0300029084728801
5000,20,1,42,"MGWR",0.158553999035135,NA,0.225853691297588,0.00336578094518555
5000,20,2,123,"BSGL",0.105839375847388,0.979,0.0547592163854719,0.0150319360296217
5000,20,2,123,"GGP-GAM",0.103986281177413,NA,0.0423761596357945,0.00334791839233699
5000,20,2,123,"GSVC",0.111287287450781,0.966,0.0474435877730954,0.032477251477862
5000,20,2,123,"MGWR",0.155278502543265,NA,0.227948372818647,0.00371707131723507
5000,20,3,456,"BSGL",0.120603969425193,0.962,0.0449416268638659,0.0161508242556928
5000,20,3,456,"GGP-GAM",0.115526345700037,NA,0.0314114897061013,0.00478753379112433
5000,20,3,456,"GSVC",0.129682328027612,0.95,0.040924371554551,0.0317932505369306
5000,20,3,456,"MGWR",0.163475127866624,NA,0.233885726309446,0.00528930697757226
5000,20,4,789,"BSGL",0.108934434499984,0.973,0.0453586244543415,0.0166783632168931
5000,20,4,789,"GGP-GAM",0.106683416925114,NA,0.0319995350037373,0.0055387564960804
5000,20,4,789,"GSVC",0.114554768963177,0.959,0.0380300910319979,0.0330090064088214
5000,20,4,789,"MGWR",0.162094304300714,NA,0.205530744142783,0.0059160650163074
5000,20,5,101,"BSGL",0.110180132574385,0.972,0.0432792819581265,0.0143172998197748
5000,20,5,101,"GGP-GAM",0.10875239400708,NA,0.0359601927336921,0.00235598523444056
5000,20,5,101,"GSVC",0.115233995358855,0.951,0.0444188365965984,0.0298867550662893
5000,20,5,101,"MGWR",0.177551343640725,NA,0.222411024524481,0.00251221410808885
5000,20,6,202,"BSGL",0.118106100617568,0.975,0.0329050541447813,0.0143419343703991
